"trackID","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track165","140892","13656","13429","13523","832","832","0","27","Truncq_15","rmphix_TRUE","MaxEE_2-5","TruncLen_230-210"
"track166","140892","127628","126688","124805","6245","6179","7","96","Truncq_2","rmphix_TRUE","MaxEE_2-5","TruncLen_210-190"
"track167","140892","127628","126688","124805","6245","6179","7","96","Truncq_4","rmphix_TRUE","MaxEE_2-5","TruncLen_210-190"
"track168","140892","127628","126688","124805","6245","6179","6","97","Truncq_7","rmphix_TRUE","MaxEE_2-5","TruncLen_210-190"
"track169","140892","127628","126688","124805","6245","6179","6","97","Truncq_11","rmphix_TRUE","MaxEE_2-5","TruncLen_210-190"
"track170","140892","24401","24112","24164","1803","1803","0","35","Truncq_15","rmphix_TRUE","MaxEE_2-5","TruncLen_210-190"
"track171","140892","133259","132373","129954","5743","5672","4","81","Truncq_2","rmphix_TRUE","MaxEE_2-5","TruncLen_180-160"
"track172","140892","133259","132373","129954","5743","5672","4","81","Truncq_4","rmphix_TRUE","MaxEE_2-5","TruncLen_180-160"
"track173","140892","133259","132373","129954","5743","5672","4","81","Truncq_7","rmphix_TRUE","MaxEE_2-5","TruncLen_180-160"
"track174","140892","133259","132373","129954","5743","5672","4","81","Truncq_11","rmphix_TRUE","MaxEE_2-5","TruncLen_180-160"
"track175","140892","39171","38850","38878","2489","2489","0","32","Truncq_15","rmphix_TRUE","MaxEE_2-5","TruncLen_180-160"
"track176","140892","119376","118220","116647","86605","72609","124","83","Truncq_2","rmphix_FALSE","MaxEE_2-5","TruncLen_0-0"
"track177","140892","119376","118220","116647","86605","72609","124","83","Truncq_4","rmphix_FALSE","MaxEE_2-5","TruncLen_0-0"
"track178","140892","119376","118220","116647","86605","72609","123","84","Truncq_7","rmphix_FALSE","MaxEE_2-5","TruncLen_0-0"
"track179","140892","119376","118220","116647","86605","72609","123","84","Truncq_11","rmphix_FALSE","MaxEE_2-5","TruncLen_0-0"
"track180","140892","129060","127879","128940","4324","4324","2","20","Truncq_15","rmphix_FALSE","MaxEE_2-5","TruncLen_0-0"
"track181","140892","48210","47432","46574","42454","34290","159","81","Truncq_2","rmphix_FALSE","MaxEE_2-5","TruncLen_250-230"
"track182","140892","48210","47432","46574","42454","34290","159","81","Truncq_4","rmphix_FALSE","MaxEE_2-5","TruncLen_250-230"
"track183","140892","48210","47432","46574","42454","34290","160","80","Truncq_7","rmphix_FALSE","MaxEE_2-5","TruncLen_250-230"
"track184","140892","48210","47432","46574","42454","34290","159","81","Truncq_11","rmphix_FALSE","MaxEE_2-5","TruncLen_250-230"
"track185","140892","2767","2679","2683","2447","2336","46","11","Truncq_15","rmphix_FALSE","MaxEE_2-5","TruncLen_250-230"
"track186","140892","123723","122805","121404","5924","5862","12","89","Truncq_2","rmphix_FALSE","MaxEE_2-5","TruncLen_230-210"
"track187","140892","123723","122805","121404","5924","5862","12","89","Truncq_4","rmphix_FALSE","MaxEE_2-5","TruncLen_230-210"
"track188","140892","123723","122805","121404","5924","5862","12","89","Truncq_7","rmphix_FALSE","MaxEE_2-5","TruncLen_230-210"
"track189","140892","123723","122805","121404","5924","5862","13","88","Truncq_11","rmphix_FALSE","MaxEE_2-5","TruncLen_230-210"
"track190","140892","13656","13429","13523","832","832","0","27","Truncq_15","rmphix_FALSE","MaxEE_2-5","TruncLen_230-210"
"track191","140892","127628","126688","124805","6245","6179","7","96","Truncq_2","rmphix_FALSE","MaxEE_2-5","TruncLen_210-190"
"track192","140892","127628","126688","124805","6245","6179","7","96","Truncq_4","rmphix_FALSE","MaxEE_2-5","TruncLen_210-190"
"track193","140892","127628","126688","124805","6245","6179","6","97","Truncq_7","rmphix_FALSE","MaxEE_2-5","TruncLen_210-190"
